BAIRRO,DRE,num_alunos
BRAS,PE,20970
JDCONSORCIO,SA,20940
CONJUNTO RESIDENCIAL ELISIO TEIXEIRA LEI,PJ,20771
JARDIM AEROPORTO,SA,20716
VILA NOVA PARADA,PJ,20688
CONJUNTO RESIDENCIAL PRESTES MAIA,G,20639
JARDIM SANTA TEREZINHA (ZONA LESTE),IQ,20600
VILA BUENOS AIRES,PE,20586
VILA CALU,CL,20466
CONJUNTO HABITACIONAL JARDIM SAO BENTO,CL,20360
JARDIM CLIPER,CS,20245
VILA SANTA ISABEL,IQ,20215
VILA CALIFORNIA,IP,20119
JARDIM SANTA FÉ (ZONA SUL),CS,20076
VILA MIRANTE,PJ,19973
VILA LIBANESA,PE,19929
JARDIM ELIANE,IQ,19807
JARDIM RINCÃO,PJ,19803
JARDIM CASA GRANDE,CS,19665
VILA BELA VISTA (ZONA NORTE),FO,19642
VILA ALBERTINA,FO,19547
JARDIM MORENO,G,19470
CONJUNTO HABITACIONAL JUSCELINO KUBITSCH,G,19298
PARQUE BOA ESPERANCA, SM,19268
VILA HOMERO,PJ,19227
VILA RÉ,PE,19124
BARRA FUNDA,IP,19077
JARDIM CAMARGO VELHO,MP,19045
ITABERABA,FO,18879
VILA JACUÍ,MP,18755
JARDIM VILA MARIANA,IP,18725
PARQUE INDEPENDÊNCIA,CL,18719
JARDIM AMARO,SM,18590
JARDIM SÃO LUÍS (ZONA LESTE),MP,18429
CHÁCARA SANTA ETELVINA,G,18393
JARDIM SAO CARLOS ZONA LESTE,MP,18321
JARDIM SANTA FE ZONA OESTE,PJ,18290
JARDIM SANTA LUCRÉCIA,PJ,18232
JARDIM PANORAMA (ZONA LESTE),IP,18110
JARDIM EDUCANDARIO,BT,17862
JARDIM CLARICE,CL,17774
JARDIM BANDEIRANTES (ZONA NORTE),PJ,17760
JARDIM SANTA MARIA,IQ,17544
JARDIM CAROMBÉ,FO,17543
VILA SANTA LÚCIA,CL,17450
JARDIM GUAIRACA,IP,17381
SOCORRO,CS,17316
JARDIM BATAGLIA,BT,17307
JARDIM ANGELA ZONA SUL,CL,17255
PARQUE NACOES UNIDAS,PJ,17209
COLONIA ZONA LESTE,IQ,17075
PARELHEIROS,CS,17060
JARDIM SILVEIRA,CS,17052
JD COLONIA,IQ,16968
VILA ZELINA,IP,16935
VILA ZAT,PJ,16866
CIDADE VARGAS,SA,16851
CONJ HABIT PADRE MANOEL DA NOBREGA,PE,16848
JARDIM JULIETA,JT,16562
TUCURUVI,JT,16488
CANTINHO DO CEU,CS,16471
JARDIM IRACEMA,CL,16330
JARDIM VARGINHA,CS,16248
VILA AMELIA,FO,16247
VILA MONUMENTO,IP,16212
VILA SANTA MARIA,FO,16204
CASA VERDE ALTA,FB,16198
JARDIM FIGUEIRA GRANDE,CL,16155
JARDIM CAROMBE,FO,16151
JARDIM CONSORCIO,SA,15950
VILA NINA,FO,15874
PARQUE AMERICA,CS,15781
VILA MARILENA,G,15730
PIRITUBA,PJ,15664
UMARIZAL,CL,15661
CIDADE LEONOR,SA,15584
ITAQUERA, IQ,15568
VILA LOURDES,MP,15568
VILA ANTONIETA,IQ,15468
CONJUNTO PROMORAR SAPOPEMBA,SM,15382
CONJUNTO HABITACIONAL A E CARVALHO,IQ,15263
PARQUE SÃO LUCAS,IP,15262
JARDIM KAGOHARA,CL,15259
VILA TAQUARI,IQ,15220
JARDIM PÉROLA I,G,15212
JARDIM PERI, FB,15098
JARDIM SOARES,G,14989
VILA EDE,JT,14924
VILA NATAL,CS,14781
VILA PENTEADO,FB,14780
JARDIM CENTENARIO,FO,14762
CONSOLACAO,IP,14713
PARQUE SÃO RAFAEL,SM,14713
JARDIM IRAPIRANGA,CL,14627
VILA MARIA BAIXA,JT,14599
JARDIM RODOLFO PIRANI, SM,14587
ITAIM,MP,14568
VILA UNIAO ZONA LESTE,PE,14430
JARDIM LAPENA,MP,14399
JARDIM HELENA,SM,14392
VILA CLARICE,PJ,14338
PARQUE ARTUR ALVIM,PE,14329
CONJUNTO PROMORAR SAO LUIS,CL,14275
JARDIM NÉLIA,MP,14254
JARDIM CONSÓRCIO,SA,14184
SANTA ETELVINA II,G,14125
JARDIM AMÁLIA,CL,14111
JARDIM MARACANÃ,FB,13982
VILA NIVI,JT,13950
CHACARA CRUZEIRO DO SUL,PE,13936
JARDIM ANA LÚCIA,CS,13896
VILA ESTER,SM,13851
LUZ,IP,13819
CONJUNTO CITY JARAGUÁ,PJ,13815
JARDIM PAPAI NOEL,CS,13754
VILA NILO,JT,13583
IPIRANGA, IP,13414
JARDIM VISTA ALEGRE,FB,13370
JARDIM SÃO FRANCISCO,SM,13351
BRÁS,PE,13339
PARQUE TIETE,FO,13299
COHAB SANTA ETELVINA II,G,13286
VILA SILVIA,PE,13260
JARDIM DAS CAMELIAS,MP,13226
JARDIM SHANGRILA ZONA NORTE,PJ,13215
JARDIM BOM REFÚGIO,CL,13205
VILA BANCÁRIA,SM,13180
JARDIM MYRNA,CS,13161
JARDIM SANTA FE ZONA SUL,CS,13050
JARDIM BRASÍLIA (ZONA LESTE),IQ,13027
VILA ALPINA,IP,12997
CONJUNTO HABITACIONAL JOVA RURAL,JT,12967
PARQUE MARIA HELENA, CL,12942
PERDIZES,PJ,12909
PARQUE SAVOY CITY,IQ,12840
PENHA DE FRANCA,PE,12832
JARDIM SANTA TEREZINHA ZONA LESTE,IQ,12831
VILA PIRAJUSSARA,CL,12808
VILA DIVA (ZONA LESTE),PE,12728
VILA PARANAGUÁ,PE,12728
VILA CHABILANDIA,G,12712
CONJUNTO HABITACIONAL FAZENDA DO CARMO,G,12676
VILA SIMONE,MP,12668
RECANTO CAMPO BELO,CS,12665
JARDIM PARQUE MORUMBI,BT,12596
MANDAQUI,JT,12564
PINHEIROS,BT,12545
PARAISÓPOLIS,BT,12376
CONJUNTO HABITACIONAL PADRE MANOEL DA NÓ,PE,12370
GLEBA DO PÊSSEGO,IQ,12363
JARDIM SÔNIA REGINA,CL,12174
JARDIM DAS OLIVEIRAS, MP,12078
ALTO DA LAPA,PJ,12075
JARDIM SANTA TEREZINHA (ZONA LESTE),G,12025
JARDIM SÃO JOSÉ,CL,12013
JARDIM MACEDÔNIA,CL,11979
PARQUE DAS PAINEIRAS,PE,11921
JARDIM BELÉM,PE,11863
BAIRRO DO LIMOEIRO,MP,11850
JARDIM PARQUE MORUMBI, CL,11846
JARDIM PANORAMA ZONA LESTE,IP,11840
BROOKLIN NOVO,SA,11713
JARDIM GUARANI,FB,11684
JARDIM UMUARAMA,CL,11635
CIDADE ANTÃ”NIO ESTEVÃƒO DE CARVALHO, IQ,11597
JARDIM SÃO BERNARDO,CS,11542
JARDIM SAO CARLOS,MP,11531
CAPÃO REDONDO,CL,11509
CASA VERDE,FO,11502
JARDIM MONTE ALEGRE,FO,11495
CAMPOS ELÍSEOS,IP,11466
VILA BABILÔNIA,SA,11385
ARTHUR ALVIM,PE,11340
VILA CARDOSO FRANCO,SM,11323
JARDIM ADELFIORE,PJ,11321
JARDIM RAPOSO TAVARES,BT,11271
JARDIM CACHOEIRA,FO,11176
JARDIM ARTUR ALVIM,PE,11170
JARDIM PRUDÊNCIA,SA,11157
JARDIM ETELVINA,G,11144
JARDIM SAO LUIS ZONA LESTE,MP,11115
JARDIM BANDEIRANTES ZONA NORTE,PJ,11100
CANGAIBA,PE,11073
JARDIM CECY,FO,11055
PARAÍSO DO MORUMBI,CL,11049
JARDIM COTINHA,PE,11046
VILA REGINA,IQ,11038
JARDIM RUBILENE,SA,10936
VILA ROMANA,PJ,10915
JARDIM NAZARETH,MP,10900
JARDIM D ABRIL,BT,10894
VILA SANTA INES,MP,10887
VILA NOVA ALBA,BT,10855
JARDIM SANTA TEREZINHA ZONA LESTE,G,10685
VILA NOVA UNIÃO,MP,10679
CHÁCARA NANI,CL,10654
JARDIM SAMARA,CL,10634
GUARAPIRANGA,CL,10633
JARDIM SAO SAVERIO,IP,10619
VILA SEABRA,MP,10608
JARDIM PAULISTANO ZONA NORTE, FB,10534
JARDIM ELIANA,CS,10533
CONJUNTO PROMORAR ESTRADA DA PARADA,FB,10390
