DRE;CODESC;TIPOESC;NOMES;NOMESCOFI;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;NOME_ANT;REDE;LATITUDE;LONGITUDE;DATABASE
PE;306832;ESC.PART.;CARAMELO;CARAMELO;;PENHA;MOOCA;BIXIRA;62;MOÓCA;3119020;29667930;;;Ativa;53;MOOCA;5302;35199837;199837;;2A A 6A;14/07/2007;39;10/07/2007;;14/07/2007;;;PAR;-23565325;-46358992;31/12/2010
PE;400614;CEI INDIR;CARRAO I;CARRAO I;;PENHA;MOOCA;SALVADOR DE LIMA;2;TATUAPÉ;3070020;29414150;;;Ativa;80;TATUAPE;8001;35307932;307932;;ZERO A 5A;;;;01/02/2007;;;;CON;-23536659;-46562297;31/12/2010
PE;306364;CR.P.CONV;CASA DA CRIANCA;CASA DA CRIANCA;;PENHA;ERMELINO MATARAZZO;RUA   TANAZEIRO;38;JARDIM MATARAZZO;3813160;29430229;;29430229;Ativa;28;ERMELINO MATARAZZO;2804;35181705;181705;;ZERO A 5A E 11M;;;;20/07/2002;;;;CON;-23491995;-46470195;31/12/2010
PE;91901;EMEI;CASPER LIBERO;CASPER LIBERO;;PENHA;MOOCA;RUA COMENDADOR NESTOR PEREIRA;146;CANINDE;3034070;3326-4631;;;Ativa;56;PARI;5601;35052097;52097;161074170000000;;25/03/1956;0;01/01/1901;;20/03/1985;;CANINDE - PI 39;DIR;-23523789;-46619639;31/12/2010
PE;307302;ESC.PART.;CASTELINHO DA ALEGRIA E.E.I.;CASTELINHO DA ALEGRIA E.E.I.;;PENHA;MOOCA;VILELA;915;TATUAPÉ;3314000;22951920;;;Ativa;80;TATUAPE;8002;35443852;443852;;3M A 5A;24/06/2010;109;23/06/2010;;;;;PAR;-23542373;-46565348;31/12/2010
PE;307325;ESC.PART.;CASTELINHO LIRIO DO VALE;CASTELINHO LIRIO DO VALE;;PENHA;MOOCA;PAULINA;56;CHÁCARA MAFALDA;3370040;;;;Ativa;1;AGUA RASA;102;35243693;243693;;1A E 6M A 5A;28/07/2010;132;26/07/2010;;28/07/2010;;;PAR;-23572907;-46559858;31/12/2010
PE;94137;EMEF;CECILIA MEIRELES;CECILIA MEIRELES;;PENHA;PENHA;FREI RICARDO DO PILAR;60;CANGAÍBA;3721090;29586723;29582743;29582743;Ativa;18;CANGAIBA;1804;35053296;53296;161074123000000;;24/01/1963;5.566;24/01/1963;;10/04/1981;;ESCOLAS AGRUPADAS DE CANGAIBA II;DIR;-23502413;-46526419;31/12/2010
PE;501250;MOVA;CEDUCASEM ERMELINO MATARAZZO  UNID V PE;CEDUCASEM ERMELINO MATARAZZO  UNID V PE;;PENHA;ERMELINO MATARAZZO;CAIÇARA DO RIO DO VENTO;1;PARQUE CÍSPER;3817000;20584116;;;Ativa;28;ERMELINO MATARAZZO;2802;;;;;26/10/2006;2003.0.314;26/10/2006;26/12/2007;;;CEDUCASEM ERMELINO MATARAZZO UNID V IQ;CON;-23486311;-46486329;31/12/2010
PE;500364;MOVA;CENT SOC PARQ STA LUZIA UNID I PE;CENT SOC PARQ STA LUZIA UNID I PE;;PENHA;PENHA;RUA  DA PADROEIRA;83;JARDIM NORDESTE;3691130;62805010;;;Ativa;18;CANGAIBA;1802;;;;;;;;05/07/2006;;;;CON;-23534225;-46483659;31/12/2010
PE;501236;MOVA;CENTRO DE EDUCACAO DA ZONA LESTE UNID II PE;CENTRO DE EDUCACAO DA ZONA LESTE UNID II PE;;PENHA;ERMELINO MATARAZZO;AVENIDA   JAIME TORRES;387;JARDIM POPULAR;3670000;;;;Ativa;64;PONTE RASA;6404;;;;;;;;17/10/2007;;;;CON;-23518632;-46507681;31/12/2010
